       CYCLE                    TASK                       JOBID               STATE         EXIT STATUS     TRIES      DURATION
================================================================================================================================
201710010000               hpss2hera                    50778439           SUCCEEDED                   0         1         193.0
201710010000          echgres_v14_01                    50778513           SUCCEEDED                   0         1         236.0
201710010000          echgres_v14_02                    50778514           SUCCEEDED                   0         1         142.0
201710010000          echgres_v14_03                    50778515           SUCCEEDED                   0         1         146.0
201710010000          echgres_v14_04                    50778516           SUCCEEDED                   0         1         146.0
201710010000          echgres_v14_05                    50778517           SUCCEEDED                   0         1         149.0
201710010000          echgres_v14_06                    50778518           SUCCEEDED                   0         1         151.0
201710010000          echgres_v14_07                    50778519           SUCCEEDED                   0         1         150.0
201710010000          echgres_v14_08                    50778520           SUCCEEDED                   0         1         151.0
201710010000               hera2hpss                    50779157           SUCCEEDED                   0         1         127.0
================================================================================================================================
201710010600               hpss2hera                    50779897           SUCCEEDED                   0         1         948.0
201710010600          echgres_v14_01                    50780423           SUCCEEDED                   0         1         220.0
201710010600          echgres_v14_02                    50780424           SUCCEEDED                   0         1         130.0
201710010600          echgres_v14_03                    50780425           SUCCEEDED                   0         1         132.0
201710010600          echgres_v14_04                    50780426           SUCCEEDED                   0         1         133.0
201710010600          echgres_v14_05                    50780428           SUCCEEDED                   0         1         126.0
201710010600          echgres_v14_06                    50780429           SUCCEEDED                   0         1         125.0
201710010600          echgres_v14_07                    50780430           SUCCEEDED                   0         1         124.0
201710010600          echgres_v14_08                    50780431           SUCCEEDED                   0         1         124.0
201710010600               hera2hpss                    50780603           SUCCEEDED                   0         1         101.0
================================================================================================================================
201710011200               hpss2hera                    50780909           SUCCEEDED                   0         1         937.0
201710011200          echgres_v14_01                    50781443           SUCCEEDED                   0         1         215.0
201710011200          echgres_v14_02                    50781444           SUCCEEDED                   0         1         125.0
201710011200          echgres_v14_03                    50781445           SUCCEEDED                   0         1         125.0
201710011200          echgres_v14_04                    50781446           SUCCEEDED                   0         1         125.0
201710011200          echgres_v14_05                    50781449           SUCCEEDED                   0         1         128.0
201710011200          echgres_v14_06                    50781453           SUCCEEDED                   0         1         133.0
201710011200          echgres_v14_07                    50781455           SUCCEEDED                   0         1         134.0
201710011200          echgres_v14_08                    50781457           SUCCEEDED                   0         1         126.0
201710011200               hera2hpss                    50781593           SUCCEEDED                   0         1         105.0
================================================================================================================================
201710011800               hpss2hera                    50781840           SUCCEEDED                   0         1         974.0
201710011800          echgres_v14_01                    50782365           SUCCEEDED                   0         1         245.0
201710011800          echgres_v14_02                    50782366           SUCCEEDED                   0         1         147.0
201710011800          echgres_v14_03                    50782367           SUCCEEDED                   0         1         151.0
201710011800          echgres_v14_04                    50782369           SUCCEEDED                   0         1         146.0
201710011800          echgres_v14_05                    50782375           SUCCEEDED                   0         1         144.0
201710011800          echgres_v14_06                    50782376           SUCCEEDED                   0         1         146.0
201710011800          echgres_v14_07                    50782377           SUCCEEDED                   0         1         146.0
201710011800          echgres_v14_08                    50782378           SUCCEEDED                   0         1         141.0
201710011800               hera2hpss                    50782550           SUCCEEDED                   0         1         112.0
================================================================================================================================
201710020000               hpss2hera                    50782859           SUCCEEDED                   0         1        1080.0
201710020000          echgres_v14_01                    50783340           SUCCEEDED                   0         1         219.0
201710020000          echgres_v14_02                    50783341           SUCCEEDED                   0         1         128.0
201710020000          echgres_v14_03                    50783342           SUCCEEDED                   0         1         147.0
201710020000          echgres_v14_04                    50783343           SUCCEEDED                   0         1         130.0
201710020000          echgres_v14_05                    50783344           SUCCEEDED                   0         1         135.0
201710020000          echgres_v14_06                    50783345           SUCCEEDED                   0         1         124.0
201710020000          echgres_v14_07                    50783346           SUCCEEDED                   0         1         100.0
201710020000          echgres_v14_08                    50783347           SUCCEEDED                   0         1         108.0
201710020000               hera2hpss                    50783583           SUCCEEDED                   0         1         103.0
================================================================================================================================
201710020600               hpss2hera                    50783866           SUCCEEDED                   0         1         841.0
201710020600          echgres_v14_01                    50784253           SUCCEEDED                   0         1         218.0
201710020600          echgres_v14_02                    50784254           SUCCEEDED                   0         1         127.0
201710020600          echgres_v14_03                    50784255           SUCCEEDED                   0         1         127.0
201710020600          echgres_v14_04                    50784256           SUCCEEDED                   0         1         127.0
201710020600          echgres_v14_05                    50784257           SUCCEEDED                   0         1         130.0
201710020600          echgres_v14_06                    50784258           SUCCEEDED                   0         1         129.0
201710020600          echgres_v14_07                    50784259           SUCCEEDED                   0         1         129.0
201710020600          echgres_v14_08                    50784260           SUCCEEDED                   0         1         140.0
201710020600               hera2hpss                    50784453           SUCCEEDED                   0         1         108.0
================================================================================================================================
201710021200               hpss2hera                    50784717           SUCCEEDED                   0         1         815.0
201710021200          echgres_v14_01                    50785172           SUCCEEDED                   0         1         236.0
201710021200          echgres_v14_02                    50785173           SUCCEEDED                   0         1         137.0
201710021200          echgres_v14_03                    50785174           SUCCEEDED                   0         1         125.0
201710021200          echgres_v14_04                    50785175           SUCCEEDED                   0         1         136.0
201710021200          echgres_v14_05                    50785176           SUCCEEDED                   0         1         132.0
201710021200          echgres_v14_06                    50785177           SUCCEEDED                   0         1         134.0
201710021200          echgres_v14_07                    50785178           SUCCEEDED                   0         1         131.0
201710021200          echgres_v14_08                    50785179           SUCCEEDED                   0         1         136.0
201710021200               hera2hpss                    50785300           SUCCEEDED                   0         1         140.0
================================================================================================================================
201710021800               hpss2hera                    50785546           SUCCEEDED                   0         1        1099.0
201710021800          echgres_v14_01                    50785947           SUCCEEDED                   0         1         239.0
201710021800          echgres_v14_02                    50785948           SUCCEEDED                   0         1         139.0
201710021800          echgres_v14_03                    50785949           SUCCEEDED                   0         1         143.0
201710021800          echgres_v14_04                    50785950           SUCCEEDED                   0         1         146.0
201710021800          echgres_v14_05                    50785951           SUCCEEDED                   0         1         142.0
201710021800          echgres_v14_06                    50785952           SUCCEEDED                   0         1         143.0
201710021800          echgres_v14_07                    50785953           SUCCEEDED                   0         1         127.0
201710021800          echgres_v14_08                    50785954           SUCCEEDED                   0         1         128.0
201710021800               hera2hpss                    50786098           SUCCEEDED                   0         1         101.0
================================================================================================================================
201710030000               hpss2hera                    50786337           SUCCEEDED                   0         1        1205.0
201710030000          echgres_v14_01                    50787148           SUCCEEDED                   0         1         225.0
201710030000          echgres_v14_02                    50787149           SUCCEEDED                   0         1         129.0
201710030000          echgres_v14_03                    50787150           SUCCEEDED                   0         1         127.0
201710030000          echgres_v14_04                    50787151           SUCCEEDED                   0         1         130.0
201710030000          echgres_v14_05                    50787152           SUCCEEDED                   0         1         131.0
201710030000          echgres_v14_06                    50787153           SUCCEEDED                   0         1         127.0
201710030000          echgres_v14_07                    50787154           SUCCEEDED                   0         1         122.0
201710030000          echgres_v14_08                    50787155           SUCCEEDED                   0         1         126.0
201710030000               hera2hpss                    50787411           SUCCEEDED                   0         1         133.0
================================================================================================================================
201710030600               hpss2hera                    50787578           SUCCEEDED                   0         1        1002.0
201710030600          echgres_v14_01                    50788416           SUCCEEDED                   0         1         234.0
201710030600          echgres_v14_02                    50788417           SUCCEEDED                   0         1         137.0
201710030600          echgres_v14_03                    50788418           SUCCEEDED                   0         1         138.0
201710030600          echgres_v14_04                    50788419           SUCCEEDED                   0         1         138.0
201710030600          echgres_v14_05                    50788421           SUCCEEDED                   0         1         140.0
201710030600          echgres_v14_06                    50788422           SUCCEEDED                   0         1         136.0
201710030600          echgres_v14_07                    50788423           SUCCEEDED                   0         1         138.0
201710030600          echgres_v14_08                    50788420           SUCCEEDED                   0         1         135.0
201710030600               hera2hpss                    50789061           SUCCEEDED                   0         1         112.0
================================================================================================================================
201710031200               hpss2hera                    50789393           SUCCEEDED                   0         1        1360.0
201710031200          echgres_v14_01                    50790126           SUCCEEDED                   0         1         214.0
201710031200          echgres_v14_02                    50790127           SUCCEEDED                   0         1         128.0
201710031200          echgres_v14_03                    50790128           SUCCEEDED                   0         1         133.0
201710031200          echgres_v14_04                    50790129           SUCCEEDED                   0         1         132.0
201710031200          echgres_v14_05                    50790130           SUCCEEDED                   0         1         124.0
201710031200          echgres_v14_06                    50790131           SUCCEEDED                   0         1         134.0
201710031200          echgres_v14_07                    50790132           SUCCEEDED                   0         1         126.0
201710031200          echgres_v14_08                    50790133           SUCCEEDED                   0         1         127.0
201710031200               hera2hpss                    50790318           SUCCEEDED                   0         1         106.0
================================================================================================================================
201710031800               hpss2hera                    50790648           SUCCEEDED                   0         1        1168.0
201710031800          echgres_v14_01                    50791134           SUCCEEDED                   0         1         230.0
201710031800          echgres_v14_02                    50791135           SUCCEEDED                   0         1         137.0
201710031800          echgres_v14_03                    50791136           SUCCEEDED                   0         1         135.0
201710031800          echgres_v14_04                    50791137           SUCCEEDED                   0         1         136.0
201710031800          echgres_v14_05                    50791138           SUCCEEDED                   0         1         136.0
201710031800          echgres_v14_06                    50791139           SUCCEEDED                   0         1         137.0
201710031800          echgres_v14_07                    50791140           SUCCEEDED                   0         1         137.0
201710031800          echgres_v14_08                    50791141           SUCCEEDED                   0         1         136.0
201710031800               hera2hpss                    50791354           SUCCEEDED                   0         1         103.0
================================================================================================================================
201710040000               hpss2hera                    50791704           SUCCEEDED                   0         1         982.0
201710040000          echgres_v14_01                    50792152           SUCCEEDED                   0         1         225.0
201710040000          echgres_v14_02                    50792154           SUCCEEDED                   0         1         122.0
201710040000          echgres_v14_03                    50792157           SUCCEEDED                   0         1         136.0
201710040000          echgres_v14_04                    50792160           SUCCEEDED                   0         1         134.0
201710040000          echgres_v14_05                    50792162           SUCCEEDED                   0         1         128.0
201710040000          echgres_v14_06                    50792164           SUCCEEDED                   0         1         127.0
201710040000          echgres_v14_07                    50792166           SUCCEEDED                   0         1         134.0
201710040000          echgres_v14_08                    50792167           SUCCEEDED                   0         1         125.0
201710040000               hera2hpss                    50792377           SUCCEEDED                   0         1         103.0
================================================================================================================================
201710040600               hpss2hera                    50792606           SUCCEEDED                   0         1         802.0
201710040600          echgres_v14_01                    50793053           SUCCEEDED                   0         1         229.0
201710040600          echgres_v14_02                    50793054           SUCCEEDED                   0         1         127.0
201710040600          echgres_v14_03                    50793055           SUCCEEDED                   0         1         125.0
201710040600          echgres_v14_04                    50793056           SUCCEEDED                   0         1         132.0
201710040600          echgres_v14_05                    50793057           SUCCEEDED                   0         1         124.0
201710040600          echgres_v14_06                    50793058           SUCCEEDED                   0         1         122.0
201710040600          echgres_v14_07                    50793059           SUCCEEDED                   0         1         131.0
201710040600          echgres_v14_08                    50793060           SUCCEEDED                   0         1         133.0
201710040600               hera2hpss                    50793242           SUCCEEDED                   0         1         101.0
================================================================================================================================
201710041200               hpss2hera                    50793521           SUCCEEDED                   0         1         911.0
201710041200          echgres_v14_01                    50793896           SUCCEEDED                   0         1         289.0
201710041200          echgres_v14_02                    50793897           SUCCEEDED                   0         1         163.0
201710041200          echgres_v14_03                    50793898           SUCCEEDED                   0         1         160.0
201710041200          echgres_v14_04                    50793899           SUCCEEDED                   0         1         161.0
201710041200          echgres_v14_05                    50793900           SUCCEEDED                   0         1         158.0
201710041200          echgres_v14_06                    50793901           SUCCEEDED                   0         1         166.0
201710041200          echgres_v14_07                    50793904           SUCCEEDED                   0         1         166.0
201710041200          echgres_v14_08                    50793905           SUCCEEDED                   0         1         164.0
201710041200               hera2hpss                    50794072           SUCCEEDED                   0         1         100.0
================================================================================================================================
201710041800               hpss2hera                    50794337           SUCCEEDED                   0         1        1054.0
201710041800          echgres_v14_01                    50794755           SUCCEEDED                   0         1         235.0
201710041800          echgres_v14_02                    50794757           SUCCEEDED                   0         1         138.0
201710041800          echgres_v14_03                    50794758           SUCCEEDED                   0         1         133.0
201710041800          echgres_v14_04                    50794759           SUCCEEDED                   0         1         124.0
201710041800          echgres_v14_05                    50794760           SUCCEEDED                   0         1         127.0
201710041800          echgres_v14_06                    50794761           SUCCEEDED                   0         1         132.0
201710041800          echgres_v14_07                    50794762           SUCCEEDED                   0         1         126.0
201710041800          echgres_v14_08                    50794763           SUCCEEDED                   0         1         131.0
201710041800               hera2hpss                    50794989           SUCCEEDED                   0         1          97.0
================================================================================================================================
201710050000               hpss2hera                    50795148           SUCCEEDED                   0         1         836.0
201710050000          echgres_v14_01                    50795539           SUCCEEDED                   0         1         214.0
201710050000          echgres_v14_02                    50795538           SUCCEEDED                   0         1         127.0
201710050000          echgres_v14_03                    50795542           SUCCEEDED                   0         1         131.0
201710050000          echgres_v14_04                    50795545           SUCCEEDED                   0         1         130.0
201710050000          echgres_v14_05                    50795544           SUCCEEDED                   0         1         128.0
201710050000          echgres_v14_06                    50795540           SUCCEEDED                   0         1         124.0
201710050000          echgres_v14_07                    50795541           SUCCEEDED                   0         1         128.0
201710050000          echgres_v14_08                    50795543           SUCCEEDED                   0         1         136.0
201710050000               hera2hpss                    50795709           SUCCEEDED                   0         1         105.0
================================================================================================================================
201710050600               hpss2hera                    50796275           SUCCEEDED                   0         2         155.0
201710050600          echgres_v14_01                    50796463           SUCCEEDED                   0         1         234.0
201710050600          echgres_v14_02                    50796464           SUCCEEDED                   0         1         125.0
201710050600          echgres_v14_03                    50796465           SUCCEEDED                   0         1         130.0
201710050600          echgres_v14_04                    50796466           SUCCEEDED                   0         1         126.0
201710050600          echgres_v14_05                    50796467           SUCCEEDED                   0         1         129.0
201710050600          echgres_v14_06                    50796468           SUCCEEDED                   0         1         137.0
201710050600          echgres_v14_07                    50796469           SUCCEEDED                   0         1         127.0
201710050600          echgres_v14_08                    50796470           SUCCEEDED                   0         1         122.0
201710050600               hera2hpss                    50796694           SUCCEEDED                   0         1          99.0
================================================================================================================================
201710051200               hpss2hera                    50797228           SUCCEEDED                   0         1         848.0
201710051200          echgres_v14_01                    50798078           SUCCEEDED                   0         1         213.0
201710051200          echgres_v14_02                    50798079           SUCCEEDED                   0         1         132.0
201710051200          echgres_v14_03                    50798080           SUCCEEDED                   0         1         131.0
201710051200          echgres_v14_04                    50798081           SUCCEEDED                   0         1         142.0
201710051200          echgres_v14_05                    50798082           SUCCEEDED                   0         1         136.0
201710051200          echgres_v14_06                    50798083           SUCCEEDED                   0         1         145.0
201710051200          echgres_v14_07                    50798084           SUCCEEDED                   0         1         147.0
201710051200          echgres_v14_08                    50798085           SUCCEEDED                   0         1         147.0
201710051200               hera2hpss                    50798955           SUCCEEDED                   0         1         102.0
================================================================================================================================
201710051800               hpss2hera                    50799243           SUCCEEDED                   0         1        2625.0
201710051800          echgres_v14_01                    50800434           SUCCEEDED                   0         1         233.0
201710051800          echgres_v14_02                    50800435           SUCCEEDED                   0         1         143.0
201710051800          echgres_v14_03                    50800436           SUCCEEDED                   0         1         140.0
201710051800          echgres_v14_04                    50800438           SUCCEEDED                   0         1         136.0
201710051800          echgres_v14_05                    50800439           SUCCEEDED                   0         1         140.0
201710051800          echgres_v14_06                    50800440           SUCCEEDED                   0         1         151.0
201710051800          echgres_v14_07                    50800443           SUCCEEDED                   0         1         133.0
201710051800          echgres_v14_08                    50800444           SUCCEEDED                   0         1         141.0
201710051800               hera2hpss                    50800704           SUCCEEDED                   0         1         112.0
================================================================================================================================
201710060000               hpss2hera                    50800873           SUCCEEDED                   0         1        1072.0
201710060000          echgres_v14_01                    50801342           SUCCEEDED                   0         1         230.0
201710060000          echgres_v14_02                    50801343           SUCCEEDED                   0         1         137.0
201710060000          echgres_v14_03                    50801344           SUCCEEDED                   0         1         130.0
201710060000          echgres_v14_04                    50801345           SUCCEEDED                   0         1         129.0
201710060000          echgres_v14_05                    50801346           SUCCEEDED                   0         1         129.0
201710060000          echgres_v14_06                    50801347           SUCCEEDED                   0         1         138.0
201710060000          echgres_v14_07                    50801348           SUCCEEDED                   0         1         138.0
201710060000          echgres_v14_08                    50801349           SUCCEEDED                   0         1         152.0
201710060000               hera2hpss                    50802463           SUCCEEDED                   0         1         101.0
================================================================================================================================
201710060600               hpss2hera                    50802677           SUCCEEDED                   0         1        1141.0
201710060600          echgres_v14_01                    50803170           SUCCEEDED                   0         1         250.0
201710060600          echgres_v14_02                    50803171           SUCCEEDED                   0         1         141.0
201710060600          echgres_v14_03                    50803172           SUCCEEDED                   0         1         142.0
201710060600          echgres_v14_04                    50803173           SUCCEEDED                   0         1         147.0
201710060600          echgres_v14_05                    50803174           SUCCEEDED                   0         1         140.0
201710060600          echgres_v14_06                    50803175           SUCCEEDED                   0         1         153.0
201710060600          echgres_v14_07                    50803176           SUCCEEDED                   0         1         145.0
201710060600          echgres_v14_08                    50803177           SUCCEEDED                   0         1         116.0
201710060600               hera2hpss                    50803381           SUCCEEDED                   0         1          98.0
================================================================================================================================
201710061200               hpss2hera                    50804193           SUCCEEDED                   0         2         298.0
201710061200          echgres_v14_01                    50804476           SUCCEEDED                   0         1         242.0
201710061200          echgres_v14_02                    50804477           SUCCEEDED                   0         1         145.0
201710061200          echgres_v14_03                    50804478           SUCCEEDED                   0         1         136.0
