       CYCLE                    TASK                       JOBID               STATE         EXIT STATUS     TRIES      DURATION
================================================================================================================================
201906120000               hpss2hera                    53680389           SUCCEEDED                   0         1         319.0
201906120000          echgres_v15_01                    53680455           SUCCEEDED                   0         1         563.0
201906120000          echgres_v15_02                    53680456           SUCCEEDED                   0         1         377.0
201906120000          echgres_v15_03                    53680457           SUCCEEDED                   0         1         378.0
201906120000          echgres_v15_04                    53680458           SUCCEEDED                   0         1         365.0
201906120000          echgres_v15_05                    53680459           SUCCEEDED                   0         1         350.0
201906120000          echgres_v15_06                    53680460           SUCCEEDED                   0         1         360.0
201906120000          echgres_v15_07                    53680461           SUCCEEDED                   0         1         383.0
201906120000          echgres_v15_08                    53680462           SUCCEEDED                   0         1         378.0
201906120000               hera2hpss                    53680965           SUCCEEDED                   0         1         304.0
================================================================================================================================
201906120600               hpss2hera                    53681402           SUCCEEDED                   0         1         334.0
201906120600          echgres_v15_01                    53681511           SUCCEEDED                   0         1         515.0
201906120600          echgres_v15_02                    53681513           SUCCEEDED                   0         1         378.0
201906120600          echgres_v15_03                    53681517           SUCCEEDED                   0         1         375.0
201906120600          echgres_v15_04                    53681519           SUCCEEDED                   0         1         375.0
201906120600          echgres_v15_05                    53681522           SUCCEEDED                   0         1         345.0
201906120600          echgres_v15_06                    53681525           SUCCEEDED                   0         1         294.0
201906120600          echgres_v15_07                    53681528           SUCCEEDED                   0         1         344.0
201906120600          echgres_v15_08                    53681529           SUCCEEDED                   0         1         316.0
201906120600               hera2hpss                    53682567           SUCCEEDED                   0         1         296.0
================================================================================================================================
201906121200               hpss2hera                    53682743           SUCCEEDED                   0         1         320.0
201906121200          echgres_v15_01                    53682973           SUCCEEDED                   0         1         436.0
201906121200          echgres_v15_02                    53682974           SUCCEEDED                   0         1         294.0
201906121200          echgres_v15_03                    53682975           SUCCEEDED                   0         1         292.0
201906121200          echgres_v15_04                    53682976           SUCCEEDED                   0         1         281.0
201906121200          echgres_v15_05                    53682977           SUCCEEDED                   0         1         316.0
201906121200          echgres_v15_06                    53682978           SUCCEEDED                   0         1         291.0
201906121200          echgres_v15_07                    53682979           SUCCEEDED                   0         1         288.0
201906121200          echgres_v15_08                    53682980           SUCCEEDED                   0         1         298.0
201906121200               hera2hpss                    53683566           SUCCEEDED                   0         1         355.0
================================================================================================================================
201906121800               hpss2hera                    53683813           SUCCEEDED                   0         1         340.0
201906121800          echgres_v15_01                    53684004           SUCCEEDED                   0         1         535.0
201906121800          echgres_v15_02                    53684005           SUCCEEDED                   0         1         301.0
201906121800          echgres_v15_03                    53684006           SUCCEEDED                   0         1         299.0
201906121800          echgres_v15_04                    53684007           SUCCEEDED                   0         1         279.0
201906121800          echgres_v15_05                    53684008           SUCCEEDED                   0         1         375.0
201906121800          echgres_v15_06                    53684009           SUCCEEDED                   0         1         346.0
201906121800          echgres_v15_07                    53684010           SUCCEEDED                   0         1         369.0
201906121800          echgres_v15_08                    53684011           SUCCEEDED                   0         1         362.0
201906121800               hera2hpss                    53691879           SUCCEEDED                   0         1         337.0
================================================================================================================================
201906130000               hpss2hera                    53692269           SUCCEEDED                   0         1         329.0
201906130000          echgres_v15_01                    53692695           SUCCEEDED                   0         1         620.0
201906130000          echgres_v15_02                    53692696           SUCCEEDED                   0         1         339.0
201906130000          echgres_v15_03                    53692697           SUCCEEDED                   0         1         336.0
201906130000          echgres_v15_04                    53692698           SUCCEEDED                   0         1         352.0
201906130000          echgres_v15_05                    53692699           SUCCEEDED                   0         1         375.0
201906130000          echgres_v15_06                    53692700           SUCCEEDED                   0         1         342.0
201906130000          echgres_v15_07                    53692701           SUCCEEDED                   0         1         331.0
201906130000          echgres_v15_08                    53692702           SUCCEEDED                   0         1         338.0
201906130000               hera2hpss                    53694907           SUCCEEDED                   0         1         352.0
================================================================================================================================
201906130600               hpss2hera                    53695310           SUCCEEDED                   0         1         358.0
201906130600          echgres_v15_01                    53695834           SUCCEEDED                   0         1         707.0
201906130600          echgres_v15_02                    53695835           SUCCEEDED                   0         1         483.0
201906130600          echgres_v15_03                    53695836           SUCCEEDED                   0         1         504.0
201906130600          echgres_v15_04                    53695837           SUCCEEDED                   0         1         479.0
201906130600          echgres_v15_05                    53695838           SUCCEEDED                   0         1         491.0
201906130600          echgres_v15_06                    53695839           SUCCEEDED                   0         1         499.0
201906130600          echgres_v15_07                    53695840           SUCCEEDED                   0         1         467.0
201906130600          echgres_v15_08                    53695841           SUCCEEDED                   0         1         459.0
201906130600               hera2hpss                    53702498           SUCCEEDED                   0         1         301.0
================================================================================================================================
201906131200               hpss2hera                    53702743           SUCCEEDED                   0         1         308.0
201906131200          echgres_v15_01                    53702974           SUCCEEDED                   0         1         458.0
201906131200          echgres_v15_02                    53702977           SUCCEEDED                   0         1         323.0
201906131200          echgres_v15_03                    53702978           SUCCEEDED                   0         1         326.0
201906131200          echgres_v15_04                    53702973           SUCCEEDED                   0         1         326.0
201906131200          echgres_v15_05                    53702975           SUCCEEDED                   0         1         315.0
201906131200          echgres_v15_06                    53702983           SUCCEEDED                   0         1         315.0
201906131200          echgres_v15_07                    53702976           SUCCEEDED                   0         1         318.0
201906131200          echgres_v15_08                    53702982           SUCCEEDED                   0         1         320.0
201906131200               hera2hpss                    53705645           SUCCEEDED                   0         1         269.0
================================================================================================================================
201906131800               hpss2hera                    53705812           SUCCEEDED                   0         1         504.0
201906131800          echgres_v15_01                    53706045           SUCCEEDED                   0         1         613.0
201906131800          echgres_v15_02                    53706046           SUCCEEDED                   0         1         410.0
201906131800          echgres_v15_03                    53706047           SUCCEEDED                   0         1         384.0
201906131800          echgres_v15_04                    53706048           SUCCEEDED                   0         1         400.0
201906131800          echgres_v15_05                    53706049           SUCCEEDED                   0         1         396.0
201906131800          echgres_v15_06                    53706050           SUCCEEDED                   0         1         391.0
201906131800          echgres_v15_07                    53706051           SUCCEEDED                   0         1         372.0
201906131800          echgres_v15_08                    53706052           SUCCEEDED                   0         1         400.0
201906131800               hera2hpss                    53706409           SUCCEEDED                   0         1         390.0
================================================================================================================================
201906140000               hpss2hera                    53706709           SUCCEEDED                   0         1         324.0
201906140000          echgres_v15_01                    53707051           SUCCEEDED                   0         1         479.0
201906140000          echgres_v15_02                    53707052           SUCCEEDED                   0         1         337.0
201906140000          echgres_v15_03                    53707053           SUCCEEDED                   0         1         315.0
201906140000          echgres_v15_04                    53707054           SUCCEEDED                   0         1         325.0
201906140000          echgres_v15_05                    53707055           SUCCEEDED                   0         1         315.0
201906140000          echgres_v15_06                    53707056           SUCCEEDED                   0         1         306.0
201906140000          echgres_v15_07                    53707057           SUCCEEDED                   0         1         314.0
201906140000          echgres_v15_08                    53707058           SUCCEEDED                   0         1         305.0
201906140000               hera2hpss                    53707295           SUCCEEDED                   0         1         234.0
================================================================================================================================
201906140600               hpss2hera                    53707657           SUCCEEDED                   0         1         324.0
201906140600          echgres_v15_01                    53707968           SUCCEEDED                   0         1         525.0
201906140600          echgres_v15_02                    53707974           SUCCEEDED                   0         1         267.0
201906140600          echgres_v15_03                    53707970           SUCCEEDED                   0         1         304.0
201906140600          echgres_v15_04                    53707971           SUCCEEDED                   0         1         282.0
201906140600          echgres_v15_05                    53707973           SUCCEEDED                   0         1         263.0
201906140600          echgres_v15_06                    53707975           SUCCEEDED                   0         1         265.0
201906140600          echgres_v15_07                    53707972           SUCCEEDED                   0         1         299.0
201906140600          echgres_v15_08                    53707969           SUCCEEDED                   0         1         358.0
201906140600               hera2hpss                    53729237           SUCCEEDED                   0         1         287.0
================================================================================================================================
201906141200               hpss2hera                    53729614           SUCCEEDED                   0         1         314.0
201906141200          echgres_v15_01                    53730019           SUCCEEDED                   0         1         419.0
201906141200          echgres_v15_02                    53730020           SUCCEEDED                   0         1         320.0
201906141200          echgres_v15_03                    53730021           SUCCEEDED                   0         1         328.0
201906141200          echgres_v15_04                    53730025           SUCCEEDED                   0         1         333.0
201906141200          echgres_v15_05                    53730026           SUCCEEDED                   0         1         326.0
201906141200          echgres_v15_06                    53730024           SUCCEEDED                   0         1         317.0
201906141200          echgres_v15_07                    53730023           SUCCEEDED                   0         1         318.0
201906141200          echgres_v15_08                    53730022           SUCCEEDED                   0         1         331.0
201906141200               hera2hpss                    53734630           SUCCEEDED                   0         1         270.0
================================================================================================================================
201906141800               hpss2hera                    53735035           SUCCEEDED                   0         1         337.0
201906141800          echgres_v15_01                    53735573           SUCCEEDED                   0         1         402.0
201906141800          echgres_v15_02                    53735574           SUCCEEDED                   0         1         328.0
201906141800          echgres_v15_03                    53735576           SUCCEEDED                   0         1         332.0
201906141800          echgres_v15_04                    53735577           SUCCEEDED                   0         1         279.0
201906141800          echgres_v15_05                    53735578           SUCCEEDED                   0         1         278.0
201906141800          echgres_v15_06                    53735580           SUCCEEDED                   0         1         260.0
201906141800          echgres_v15_07                    53735581           SUCCEEDED                   0         1         273.0
201906141800          echgres_v15_08                    53735583           SUCCEEDED                   0         1         264.0
201906141800               hera2hpss                    53746697           SUCCEEDED                   0         1         256.0
================================================================================================================================
201906150000               hpss2hera                    53747219           SUCCEEDED                   0         1         370.0
201906150000          echgres_v15_01                    53747697           SUCCEEDED                   0         1         440.0
201906150000          echgres_v15_02                    53747698           SUCCEEDED                   0         1         308.0
201906150000          echgres_v15_03                    53747699           SUCCEEDED                   0         1         340.0
201906150000          echgres_v15_04                    53747700           SUCCEEDED                   0         1         345.0
201906150000          echgres_v15_05                    53747701           SUCCEEDED                   0         1         353.0
201906150000          echgres_v15_06                    53747702           SUCCEEDED                   0         1         331.0
201906150000          echgres_v15_07                    53747703           SUCCEEDED                   0         1         353.0
201906150000          echgres_v15_08                    53747704           SUCCEEDED                   0         1         349.0
201906150000               hera2hpss                    53751206           SUCCEEDED                   0         1         271.0
================================================================================================================================
201906150600               hpss2hera                    53752252           SUCCEEDED                   0         1         330.0
201906150600          echgres_v15_01                    53753220           SUCCEEDED                   0         1         464.0
201906150600          echgres_v15_02                    53753221           SUCCEEDED                   0         1         287.0
201906150600          echgres_v15_03                    53753222           SUCCEEDED                   0         1         291.0
201906150600          echgres_v15_04                    53753223           SUCCEEDED                   0         1         325.0
201906150600          echgres_v15_05                    53753224           SUCCEEDED                   0         1         325.0
201906150600          echgres_v15_06                    53753225           SUCCEEDED                   0         1         280.0
201906150600          echgres_v15_07                    53753226           SUCCEEDED                   0         1         335.0
201906150600          echgres_v15_08                    53753227           SUCCEEDED                   0         1         285.0
201906150600               hera2hpss                    53775377           SUCCEEDED                   0         1         317.0
================================================================================================================================
201906151200               hpss2hera                    53775654           SUCCEEDED                   0         1         322.0
201906151200          echgres_v15_01                    53775975           SUCCEEDED                   0         1         421.0
201906151200          echgres_v15_02                    53775976           SUCCEEDED                   0         1         278.0
