       CYCLE                    TASK                       JOBID               STATE         EXIT STATUS     TRIES      DURATION
================================================================================================================================
202403150000               hpss2hera                     4104246           SUCCEEDED                   0         1         671.0
202403150000          echgres_v16_01                     4105407           SUCCEEDED                   0         3         976.0
202403150000          echgres_v16_02                     4104421           SUCCEEDED                   0         1         737.0
202403150000          echgres_v16_03                     4105406           SUCCEEDED                   0         4         705.0
202403150000          echgres_v16_04                     4104423           SUCCEEDED                   0         1         775.0
202403150000          echgres_v16_05                     4105053           SUCCEEDED                   0         2         632.0
202403150000          echgres_v16_06                     4105756           SUCCEEDED                   0         4         804.0
202403150000          echgres_v16_07                     4104424           SUCCEEDED                   0         1         709.0
202403150000          echgres_v16_08                     4105656           SUCCEEDED                   0         3         877.0
202403150000               hera2hpss                     4106048           SUCCEEDED                   0         1         636.0
================================================================================================================================
202403150600               hpss2hera                     4137116           SUCCEEDED                   0         1         891.0
202403150600          echgres_v16_01                     4138456           SUCCEEDED                   0         2         969.0
202403150600          echgres_v16_02                     4138199           SUCCEEDED                   0         1         658.0
202403150600          echgres_v16_03                     4138202           SUCCEEDED                   0         1         742.0
202403150600          echgres_v16_04                     4138201           SUCCEEDED                   0         1         677.0
202403150600          echgres_v16_05                     4138717           SUCCEEDED                   0         2         764.0
202403150600          echgres_v16_06                     4138716           SUCCEEDED                   0         2         736.0
202403150600          echgres_v16_07                     4138210           SUCCEEDED                   0         1         726.0
202403150600          echgres_v16_08                     4139265           SUCCEEDED                   0         3         824.0
202403150600               hera2hpss                     4139599           SUCCEEDED                   0         1         680.0
================================================================================================================================
202403151200               hpss2hera                     4140300           SUCCEEDED                   0         1         634.0
202403151200          echgres_v16_01                     4140598           SUCCEEDED                   0         1         905.0
202403151200          echgres_v16_02                     4140596           SUCCEEDED                   0         1         651.0
202403151200          echgres_v16_03                     4140599           SUCCEEDED                   0         1         703.0
202403151200          echgres_v16_04                     4140863           SUCCEEDED                   0         2         586.0
202403151200          echgres_v16_05                     4142162           SUCCEEDED                   0         3         858.0
202403151200          echgres_v16_06                     4141221           SUCCEEDED                   0         2         806.0
202403151200          echgres_v16_07                     4141220           SUCCEEDED                   0         2         807.0
202403151200          echgres_v16_08                     4140601           SUCCEEDED                   0         1         734.0
202403151200               hera2hpss                     4142642           SUCCEEDED                   0         1         713.0
================================================================================================================================
202403151800               hpss2hera                     4142998           SUCCEEDED                   0         1         711.0
202403151800          echgres_v16_01                     4144392           SUCCEEDED                   0         2         901.0
202403151800          echgres_v16_02                     4143428           SUCCEEDED                   0         1         705.0
202403151800          echgres_v16_03                     4143429           SUCCEEDED                   0         1         670.0
202403151800          echgres_v16_04                     4143431           SUCCEEDED                   0         1         824.0
202403151800          echgres_v16_05                     4143432           SUCCEEDED                   0         1         650.0
202403151800          echgres_v16_06                     4143433           SUCCEEDED                   0         1         763.0
202403151800          echgres_v16_07                     4143434           SUCCEEDED                   0         1         848.0
202403151800          echgres_v16_08                     4143435           SUCCEEDED                   0         1         684.0
202403151800               hera2hpss                     4144748           SUCCEEDED                   0         1         669.0
================================================================================================================================
202403160000               hpss2hera                     4145143           SUCCEEDED                   0         1         709.0
202403160000          echgres_v16_01                     4145514           SUCCEEDED                   0         1        1005.0
202403160000          echgres_v16_02                     4145515           SUCCEEDED                   0         1         709.0
202403160000          echgres_v16_03                     4145511           SUCCEEDED                   0         1         694.0
202403160000          echgres_v16_04                     4146488           SUCCEEDED                   0         3         591.0
202403160000          echgres_v16_05                     4145781           SUCCEEDED                   0         2         708.0
202403160000          echgres_v16_06                     4145516           SUCCEEDED                   0         1         737.0
202403160000          echgres_v16_07                     4146233           SUCCEEDED                   0         3         703.0
202403160000          echgres_v16_08                     4146355           SUCCEEDED                   0         3         766.0
202403160000               hera2hpss                     4146908           SUCCEEDED                   0         1         691.0
================================================================================================================================
202403160600               hpss2hera                     4147304           SUCCEEDED                   0         1        1696.0
202403160600          echgres_v16_01                     4147965           SUCCEEDED                   0         1         915.0
202403160600          echgres_v16_02                     4148520           SUCCEEDED                   0         2         834.0
202403160600          echgres_v16_03                     4147962           SUCCEEDED                   0         1         723.0
202403160600          echgres_v16_04                     4147963           SUCCEEDED                   0         1         751.0
202403160600          echgres_v16_05                     4147958           SUCCEEDED                   0         1         749.0
202403160600          echgres_v16_06                     4147959           SUCCEEDED                   0         1         583.0
202403160600          echgres_v16_07                     4147964           SUCCEEDED                   0         1         740.0
202403160600          echgres_v16_08                     4147961           SUCCEEDED                   0         1         695.0
202403160600               hera2hpss                     4148865           SUCCEEDED                   0         1         742.0
================================================================================================================================
202403161200               hpss2hera                     4149298           SUCCEEDED                   0         1         691.0
202403161200          echgres_v16_01                     4149691           SUCCEEDED                   0         1         881.0
202403161200          echgres_v16_02                     4149690           SUCCEEDED                   0         1         737.0
202403161200          echgres_v16_03                     4149692           SUCCEEDED                   0         1         573.0
202403161200          echgres_v16_04                     4150281           SUCCEEDED                   0         2         874.0
202403161200          echgres_v16_05                     4150767           SUCCEEDED                   0         3         775.0
202403161200          echgres_v16_06                     4149695           SUCCEEDED                   0         1         632.0
202403161200          echgres_v16_07                     4150869           SUCCEEDED                   0         3         718.0
202403161200          echgres_v16_08                     4158823           SUCCEEDED                   0         1         559.0
202403161200               hera2hpss                     4159319           SUCCEEDED                   0         1         355.0
================================================================================================================================
202403161800               hpss2hera                     4159639           SUCCEEDED                   0         1         655.0
202403161800          echgres_v16_01                     4160026           SUCCEEDED                   0         1         899.0
202403161800          echgres_v16_02                     4160032           SUCCEEDED                   0         1         805.0
202403161800          echgres_v16_03                     4160023           SUCCEEDED                   0         1         720.0
202403161800          echgres_v16_04                     4160412           SUCCEEDED                   0         2         777.0
202403161800          echgres_v16_05                     4160021           SUCCEEDED                   0         1         735.0
202403161800          echgres_v16_06                     4160027           SUCCEEDED                   0         1         669.0
202403161800          echgres_v16_07                     4160022           SUCCEEDED                   0         1         710.0
202403161800          echgres_v16_08                     4160030           SUCCEEDED                   0         1         707.0
202403161800               hera2hpss                     4160832           SUCCEEDED                   0         1         652.0
================================================================================================================================
202403170000               hpss2hera                     4161200           SUCCEEDED                   0         1         676.0
202403170000          echgres_v16_01                     4161629           SUCCEEDED                   0         1         942.0
202403170000          echgres_v16_02                     4163239           SUCCEEDED                   0         2         556.0
202403170000          echgres_v16_03                     4161628           SUCCEEDED                   0         1         555.0
202403170000          echgres_v16_04                     4161624           SUCCEEDED                   0         1         721.0
202403170000          echgres_v16_05                     4161623           SUCCEEDED                   0         1         705.0
202403170000          echgres_v16_06                     4161630           SUCCEEDED                   0         1         616.0
202403170000          echgres_v16_07                     4163240           SUCCEEDED                   0         2         711.0
202403170000          echgres_v16_08                     4161627           SUCCEEDED                   0         1         607.0
202403170000               hera2hpss                     4163575           SUCCEEDED                   0         1         814.0
================================================================================================================================
202403170600               hpss2hera                     4164009           SUCCEEDED                   0         1         668.0
202403170600          echgres_v16_01                     4164377           SUCCEEDED                   0         1        1000.0
202403170600          echgres_v16_02                     4165927           SUCCEEDED                   0         3         780.0
202403170600          echgres_v16_03                     4164374           SUCCEEDED                   0         1         693.0
202403170600          echgres_v16_04                     4165139           SUCCEEDED                   0         2         817.0
202403170600          echgres_v16_05                     4164375           SUCCEEDED                   0         1         695.0
202403170600          echgres_v16_06                     4165142           SUCCEEDED                   0         2         782.0
202403170600          echgres_v16_07                     4165555           SUCCEEDED                   0         3         700.0
202403170600          echgres_v16_08                     4164380           SUCCEEDED                   0         1         741.0
202403170600               hera2hpss                     4166254           SUCCEEDED                   0         1         594.0
================================================================================================================================
202403171200               hpss2hera                     4166536           SUCCEEDED                   0         1         642.0
202403171200          echgres_v16_01                     4166891           SUCCEEDED                   0         1        1102.0
202403171200          echgres_v16_02                     4166886           SUCCEEDED                   0         1         677.0
202403171200          echgres_v16_03                     4167709           SUCCEEDED                   0         2         650.0
202403171200          echgres_v16_04                     4166889           SUCCEEDED                   0         1         676.0
202403171200          echgres_v16_05                     4166888           SUCCEEDED                   0         1         683.0
202403171200          echgres_v16_06                     4166887           SUCCEEDED                   0         1         721.0
202403171200          echgres_v16_07                     4168030           SUCCEEDED                   0         3         580.0
202403171200          echgres_v16_08                     4167292           SUCCEEDED                   0         2         651.0
202403171200               hera2hpss                     4168498           SUCCEEDED                   0         1         669.0
================================================================================================================================
202403171800               hpss2hera                     4168846           SUCCEEDED                   0         1         783.0
202403171800          echgres_v16_01                     4169912           SUCCEEDED                   0         2         889.0
202403171800          echgres_v16_02                     4169229           SUCCEEDED                   0         1         637.0
202403171800          echgres_v16_03                     4171124           SUCCEEDED                   0         4         655.0
202403171800          echgres_v16_04                     4169911           SUCCEEDED                   0         2         696.0
202403171800          echgres_v16_05                     4169217           SUCCEEDED                   0         1         766.0
202403171800          echgres_v16_06                     4169219           SUCCEEDED                   0         1         755.0
202403171800          echgres_v16_07                     4169218           SUCCEEDED                   0         1         721.0
202403171800          echgres_v16_08                     4169913           SUCCEEDED                   0         2         774.0
202403171800               hera2hpss                     4171594           SUCCEEDED                   0         1         552.0
================================================================================================================================
202403180000               hpss2hera                     4172035           SUCCEEDED                   0         1         672.0
202403180000          echgres_v16_01                     4173182           SUCCEEDED                   0         1         943.0
202403180000          echgres_v16_02                     4173472           SUCCEEDED                   0         2         594.0
202403180000          echgres_v16_03                     4173176           SUCCEEDED                   0         1         822.0
202403180000          echgres_v16_04                     4173177           SUCCEEDED                   0         1         719.0
202403180000          echgres_v16_05                     4173179           SUCCEEDED                   0         1         722.0
202403180000          echgres_v16_06                     4174585           SUCCEEDED                   0         3         614.0
202403180000          echgres_v16_07                     4173181           SUCCEEDED                   0         1         693.0
202403180000          echgres_v16_08                     4173180           SUCCEEDED                   0         1         738.0
202403180000               hera2hpss                     4174902           SUCCEEDED                   0         1         405.0
================================================================================================================================
202403180600               hpss2hera                     4175302           SUCCEEDED                   0         1         631.0
202403180600          echgres_v16_01                     4178080           SUCCEEDED                   0         5         944.0
202403180600          echgres_v16_02                     4177007           SUCCEEDED                   0         3         654.0
202403180600          echgres_v16_03                     4175657           SUCCEEDED                   0         1         681.0
202403180600          echgres_v16_04                     4176325           SUCCEEDED                   0         2         643.0
202403180600          echgres_v16_05                     4176324           SUCCEEDED                   0         2         611.0
202403180600          echgres_v16_06                     4176328           SUCCEEDED                   0         2         573.0
202403180600          echgres_v16_07                     4175658           SUCCEEDED                   0         1         677.0
202403180600          echgres_v16_08                     4175659           SUCCEEDED                   0         1         617.0
202403180600               hera2hpss                     4178775           SUCCEEDED                   0         1         438.0
================================================================================================================================
202403181200               hpss2hera                     4179032           SUCCEEDED                   0         1         801.0
202403181200          echgres_v16_01                     4180561           SUCCEEDED                   0         4         973.0
202403181200          echgres_v16_02                     4179876           SUCCEEDED                   0         2         722.0
202403181200          echgres_v16_03                     4179367           SUCCEEDED                   0         1         710.0
202403181200          echgres_v16_04                     4179368           SUCCEEDED                   0         1         763.0
202403181200          echgres_v16_05                     4179369           SUCCEEDED                   0         1         724.0
202403181200          echgres_v16_06                     4182234           SUCCEEDED                   0         5         702.0
202403181200          echgres_v16_07                     4180074           SUCCEEDED                   0         3         704.0
202403181200          echgres_v16_08                     4179875           SUCCEEDED                   0         2         724.0
202403181200               hera2hpss                     4182753           SUCCEEDED                   0         1         404.0
================================================================================================================================
202403181800               hpss2hera                     4183046           SUCCEEDED                   0         1         653.0
202403181800          echgres_v16_01                     4183577           SUCCEEDED                   0         1         875.0
202403181800          echgres_v16_02                     4183575           SUCCEEDED                   0         1         725.0
202403181800          echgres_v16_03                     4183576           SUCCEEDED                   0         1         755.0
202403181800          echgres_v16_04                     4184071           SUCCEEDED                   0         2         604.0
202403181800          echgres_v16_05                     4183578           SUCCEEDED                   0         1         699.0
202403181800          echgres_v16_06                     4183579           SUCCEEDED                   0         1         660.0
202403181800          echgres_v16_07                     4183580           SUCCEEDED                   0         1         646.0
202403181800          echgres_v16_08                     4185007           SUCCEEDED                   0         3         544.0
202403181800               hera2hpss                     4185284           SUCCEEDED                   0         1         605.0
================================================================================================================================
202403190000               hpss2hera                     4185812           SUCCEEDED                   0         1         638.0
202403190000          echgres_v16_01                     4186909           SUCCEEDED                   0         2         968.0
202403190000          echgres_v16_02                     4186912           SUCCEEDED                   0         2         571.0
202403190000          echgres_v16_03                     4186522           SUCCEEDED                   0         2         592.0
202403190000          echgres_v16_04                     4187226           SUCCEEDED                   0         3         778.0
202403190000          echgres_v16_05                     4187227           SUCCEEDED                   0         3         807.0
202403190000          echgres_v16_06                     4186267           SUCCEEDED                   0         1         578.0
202403190000          echgres_v16_07                     4186268           SUCCEEDED                   0         1         553.0
202403190000          echgres_v16_08                     4186269           SUCCEEDED                   0         1         580.0
202403190000               hera2hpss                     4187817           SUCCEEDED                   0         1         564.0
================================================================================================================================
202403190600               hpss2hera                     4188010           SUCCEEDED                   0         1         716.0
202403190600          echgres_v16_01                     4188513           SUCCEEDED                   0         1         866.0
202403190600          echgres_v16_02                     4188512           SUCCEEDED                   0         1         600.0
202403190600          echgres_v16_03                     4188967           SUCCEEDED                   0         2         751.0
202403190600          echgres_v16_04                     4188524           SUCCEEDED                   0         1         707.0
202403190600          echgres_v16_05                     4188732           SUCCEEDED                   0         2         709.0
202403190600          echgres_v16_06                     4188966           SUCCEEDED                   0         2         853.0
202403190600          echgres_v16_07                     4188523           SUCCEEDED                   0         1         633.0
202403190600          echgres_v16_08                     4189906           SUCCEEDED                   0         4         589.0
202403190600               hera2hpss                     4190124           SUCCEEDED                   0         1         481.0
================================================================================================================================
202403191200               hpss2hera                     4190373           SUCCEEDED                   0         1         615.0
202403191200          echgres_v16_01                     4193103           SUCCEEDED                   0         3         937.0
202403191200          echgres_v16_02                     4192387           SUCCEEDED                   0         2         730.0
202403191200          echgres_v16_03                     4192389           SUCCEEDED                   0         2         626.0
202403191200          echgres_v16_04                     4193102           SUCCEEDED                   0         3         860.0
202403191200          echgres_v16_05                     4190923           SUCCEEDED                   0         1         835.0
